> pLValues
 [643] 0.271428571 0.962857143
 [645] 0.407142857 0.425714286
 [647] 0.995714286 0.585714286
 [649] 0.417142857 0.224285714
 [651] 0.565714286 0.778571429
 [653] 0.914285714 0.035714286
 [655] 0.544285714 0.321428571
 [657] 0.724285714 0.795714286
 [659] 0.222857143 0.372857143
 [661] 0.971428571 0.965714286
 [663] 0.325714286 0.718571429
 [665] 0.960000000 0.015714286
 [667] 0.517142857 0.524285714
 [669] 0.924285714 0.730000000
 [671] 0.922857143 0.450000000
 [673] 0.901428571 0.652857143
 [675] 0.121428571 0.121428571
 [677] 0.644285714 0.004285714
 [679] 0.372857143 0.072857143
 [681] 0.438571429 0.407142857
 [683] 0.547142857 0.811428571
 [685] 0.887142857 0.615714286
 [687] 0.910000000 0.638571429
 [689] 0.078571429 0.720000000
 [691] 0.428571429 0.212857143
 [693] 0.368571429 0.895714286
 [695] 0.322857143 0.257142857
 [697] 0.164285714 0.381428571
 [699] 0.511428571 0.125714286
 [701] 0.137142857 0.931428571
 [703] 0.527142857 0.814285714
 [705] 0.171428571 0.307142857
 [707] 0.235714286 0.572857143
 [709] 0.984285714 0.675714286
 [711] 0.937142857 0.690000000
 [713] 0.445714286 0.410000000
 [715] 0.708571429 0.587142857
 [717] 0.330000000 0.790000000
 [719] 0.817142857 0.017142857
 [721] 0.657142857 0.361428571
 [723] 0.321428571 0.087142857
 [725] 0.878571429 0.567142857
 [727] 0.655714286 0.767142857
 [729] 0.077142857 0.807142857
 [731] 0.950000000 0.560000000
 [733] 0.544285714 0.722857143
 [735] 0.722857143 0.775714286
 [737] 0.854285714 0.972857143
 [739] 0.781428571 0.764285714
 [741] 0.447142857 0.412857143
 [743] 0.511428571 0.417142857
 [745] 0.425714286 0.588571429
 [747] 0.350000000 0.548571429
 [749] 0.140000000 0.815714286
 [751] 0.564285714 0.790000000
 [753] 0.692857143 0.720000000
 [755] 0.250000000 0.502857143
 [757] 0.365714286 0.241428571
 [759] 0.115714286 0.791428571
 [761] 0.598571429 0.085714286
 [763] 0.395714286 0.897142857
 [765] 0.311428571 0.860000000
 [767] 0.155714286 0.754285714
 [769] 0.500000000 0.740000000
 [771] 0.128571429 0.038571429
 [773] 0.214285714 0.271428571
 [775] 0.085714286 0.284285714
 [777] 0.888571429 0.114285714
 [779] 0.992857143 0.502857143
 [781] 0.217142857 0.764285714
 [783] 0.094285714 0.017142857
 [785] 0.441428571 0.685714286
 [787] 0.270000000 0.894285714
 [789] 0.492857143 0.551428571
 [791] 0.424285714 0.221428571
 [793] 0.032857143 0.740000000
 [795] 0.962857143 0.428571429
 [797] 0.790000000 0.371428571
 [799] 0.864285714 0.652857143
 [801] 0.298571429 0.195714286
 [803] 0.117142857 0.457142857
 [805] 0.664285714 0.950000000
 [807] 0.985714286 0.897142857
 [809] 0.240000000 0.542857143
 [811] 0.207142857 0.094285714
 [813] 0.511428571 0.387142857
 [815] 0.640000000 0.442857143
 [817] 0.092857143 0.407142857
 [819] 0.217142857 0.810000000
 [821] 0.554285714 0.741428571
 [823] 0.837142857 0.408571429
 [825] 0.627142857 0.738571429
 [827] 0.122857143 0.502857143
 [829] 0.401428571 0.247142857
 [831] 0.328571429 0.151428571
 [833] 0.271428571 0.251428571
 [835] 0.462857143 0.850000000
 [837] 0.398571429 0.352857143
 [839] 0.917142857 0.571428571
 [841] 0.508571429 0.717142857
 [843] 0.147142857 0.308571429
 [845] 0.370000000 0.577142857
 [847] 0.880000000 0.171428571
 [849] 0.582857143 0.672857143
 [851] 0.880000000 0.694285714
 [853] 0.151428571 0.877142857
 [855] 0.014285714 0.207142857
 [857] 0.998571429 0.347142857
 [859] 0.442857143 0.001428571
 [861] 0.162857143 0.255714286
 [863] 0.337142857 0.060000000
 [865] 0.677142857 0.381428571
 [867] 0.840000000 0.845714286
 [869] 0.388571429 0.925714286
 [871] 0.064285714 0.868571429
 [873] 0.672857143 0.231428571
 [875] 0.610000000 0.671428571
 [877] 1.000000000 0.467142857
 [879] 0.445714286 0.152857143
 [881] 0.590000000 0.904285714
 [883] 0.021428571 0.755714286
 [885] 0.397142857 0.638571429
 [887] 0.085714286 0.581428571
 [889] 0.920000000 0.322857143
 [891] 0.547142857 0.674285714
 [893] 0.551428571 0.934285714
 [895] 0.258571429 0.584285714
 [897] 0.051428571 0.535714286
 [899] 0.005714286 0.920000000
 [901] 0.272857143 0.922857143
 [903] 0.028571429 0.915714286
 [905] 0.585714286 0.650000000
 [907] 0.868571429 0.862857143
 [909] 0.827142857 0.797142857
 [911] 0.434285714 0.504285714
 [913] 0.024285714 0.691428571
 [915] 0.210000000 0.937142857
 [917] 0.114285714 0.038571429
 [919] 0.848571429 0.277142857
 [921] 0.757142857 0.567142857
 [923] 0.824285714 0.947142857
 [925] 0.641428571 0.551428571
 [927] 0.361428571 0.507142857
 [929] 0.568571429 0.610000000
 [931] 0.078571429 0.158571429
 [933] 0.590000000 0.118571429
 [935] 0.455714286 0.171428571
 [937] 0.828571429 0.594285714
 [939] 0.922857143 0.762857143
 [941] 0.512857143 0.548571429
 [943] 0.364285714 0.832857143
 [945] 0.477142857 0.487142857
 [947] 0.668571429 0.328571429
 [949] 0.202857143 0.697142857
 [951] 0.165714286 0.857142857
 [953] 0.782857143 0.100000000
 [955] 0.017142857 0.267142857
 [957] 0.891428571 0.314285714
 [959] 0.750000000 0.591428571
 [961] 0.262857143 0.734285714
 [963] 0.932857143 0.605714286
 [965] 0.312857143 0.027142857
 [967] 0.885714286 0.302857143
 [969] 0.698571429 0.747142857
 [971] 0.121428571 0.560000000
 [973] 0.244285714 0.004285714
 [975] 0.988571429 0.568571429
 [977] 0.902857143 0.810000000
 [979] 0.444285714 0.467142857
 [981] 0.317142857 0.544285714
 [983] 0.638571429 0.051428571
 [985] 0.012857143 0.394285714
 [987] 0.984285714 0.315714286
 [989] 0.698571429 0.132857143
 [991] 0.138571429 0.087142857
 [993] 0.534285714 0.460000000
 [995] 0.952857143 0.854285714
 [997] 0.960000000 0.455714286
 [999] 0.847142857 0.421428571

> print("PowerL")
[1] "PowerL"
> print(PowerL)
[1] 0.057
> print("PowerF")
[1] "PowerF"
> print(PowerF)
[1] 0.05
> 

